Description,Code,SKU,UOM,Resource Type,Expense Item (by Default)
LED STRIP LIGHT - 4000K - 220V - NATURAL WHITE,00-50003609,,LM,Inventory Item,Cost of Materials
LED STRIP LIGHT - 4000K - 24W - COOL WHITE,00-50002622,,LM,Inventory Item,Cost of Materials
LED STRIPLIGHT - 5V USB - 3000K - 5 MTR,00-50003604,,Mtr,Inventory Item,Cost of Materials
LED STRIPLIGHT - IP20 - 3000K - CODE: SL-2835-10 DC24V 240LED 10W/M,00-50004049,,Mtr,Inventory Item,Cost of Materials
"LEDVANCE LED STRIP LIGHT 8W/M, 220V, 4000K, IP65, (1x50 Mtr)",00-50002632,,Roll,Inventory Item,Cost of Materials
PVC BOX 3X6,00-50002932,,No.,Inventory Item,Cost of Materials
SOCKET 13A - MATT BLACK,00-50003611,,Nos,Inventory Item,Cost of Materials
SOCKET 13A FEMALE,00-50002934,,Nos,Inventory Item,Cost of Materials
SOCKET 13A MALE,00-50002933,,Nos,Inventory Item,Cost of Materials
SOCKET 2 GANG - 13 AMP,00-50002931,,Nos.,Inventory Item,Cost of Materials
SPLIT AC - 1 TON,00-50002794,,Nos.,Inventory Item,Cost of Materials
SPLIT AC - 1.5 TON,00-50003455,,Nos.,Inventory Item,Cost of Materials
SPOT LIGHT 10CM - 3000K WARM WHITE 220W,00-50002783,,Nos.,Inventory Item,Cost of Materials
SPOT LIGHT 50MM DIA,00-50002812,,Nos.,Inventory Item,Cost of Materials
SPOT LIGHT 5W,00-50003056,,Nos.,Inventory Item,Cost of Materials
SPOT LIGHT 70MM DIA,00-50002915,,Nos.,Inventory Item,Cost of Materials
WINDOW AC - 1 TON,00-50002793,,Nos.,Inventory Item,Cost of Materials
WINDOW AC - 1.5 TON,00-50003612,,Nos.,Inventory Item,Cost of Materials
WINDOW AC - 2 TON,00-50003454,,Nos.,Inventory Item,Cost of Materials
Finished Goods,00-00000311,,,,
Vanity,00-00000314,,,,
VTY-01,00-00000313,,Cbm,Inventory Item,
VTY-02,00-00000315,,Cbm,Inventory Item,
VTY-03,00-00000316,,Cbm,Inventory Item,
VTY-04,00-00000317,,Cbm,Inventory Item,
VTY-05,00-00000318,,Cbm,Inventory Item,
VTY-06,00-00000319,,Cbm,Inventory Item,
VTY-07,00-00000320,,Cbm,Inventory Item,
VTY-08,00-00000321,,Cbm,Inventory Item,
VTY-09,00-00000322,,Cbm,Inventory Item,
VTY-10,00-00000323,,Cbm,Inventory Item,
VTY-11,00-00000324,,Cbm,Inventory Item,
VTY-12,00-00000325,,Cbm,Inventory Item,
VTY-13,00-00000326,,Cbm,Inventory Item,
VTY-14,00-00000327,,Cbm,Inventory Item,
VTY-15,00-00000328,,Cbm,Inventory Item,
Wardrobe,00-00000331,,,,
WD-01,00-00000332,,Cbm,Inventory Item,
First Aid Box,00-00000027,,,,
Ironmongery,00-00000032,,,,
06MM THK GLASS DOOR FITTING - BLACK COLOR,00-50003607,,Pair,Inventory Item,Cost of Materials
A TYPE HINGES - BLUM,00-50002906,,Nos,Inventory Item,Cost of Materials
ALUMINIUM PROFILE ,00-50002894,,LM,Inventory Item,Cost of Materials
ALUMINIUM SKIRTING,00-50003169,,LM,Inventory Item,Cost of Materials
ALUMINUM CHANNEL U SHAPE 3000X10X10,00-50003081,,No.,Inventory Item,Cost of Materials
ALUMINUM PLATE 3000X50X3MM,00-50003459,,No.,Inventory Item,Cost of Materials
ALUMINUM PLATE 3000X60X3MM,00-50003327,,No.,Inventory Item,Cost of Materials
ALUMINUM STRIP,00-50003797,,No.,Inventory Item,Cost of Materials
B TYPE HINGES - BLUM,00-50002907,,Nos,Inventory Item,Cost of Materials
"BUTT HINGES - BALL BEARING - 3MMX4""X4""",00-50002664,,Nos.,Inventory Item,Cost of Materials
BUTT HINGES 4X4X3,00-50003074,,Nos,Inventory Item,Cost of Materials
CABINET HINGES - TYPE A ,00-50003215,,No.,Inventory Item,Cost of Materials
CABINET HINGES - TYPE A - BLUM,00-50002649,,No.,Inventory Item,Cost of Materials
CABINET HINGES - TYPE B,00-50003349,,No.,Inventory Item,Cost of Materials
CABINET HINGES - TYPE C,00-50003408,,No.,Inventory Item,Cost of Materials
CABINET HINGES - TYPE C - BLUM,00-50003073,,No.,Inventory Item,Cost of Materials
CABINET LOCK,00-50002821,,No.,Inventory Item,Cost of Materials
CASTER WHEEL 70MM HEIGHT - SWIVEL,00-50002895,,Nos.,Inventory Item,Cost of Materials
CLASSIC DOOR HINGES - DOUBLE,00-50003201,,No.,Inventory Item,Cost of Materials
CLASSIC DOOR HINGES - SINGLE,00-50003200,,No.,Inventory Item,Cost of Materials
DOOR HANDLE - BARROCO COPPER - ANTIQUE FINISH (BARROCO: 3815 ET_172U),00-50002960,,Set,Inventory Item,Cost of Materials
DOOR HINGES 3X3X3,00-50002715,,Nos.,Inventory Item,
DOOR HINGES 3X3X4,00-50002743,,Nos.,Inventory Item,
DOOR KNOB 70MM - ANTIQUE FINISH,00-50003238,,Pair,Inventory Item,Cost of Materials
DOOR STOPPER ,00-50003077,,Nos.,Inventory Item,Cost of Materials
DOUBLE ACTION DOOR FITTING - TOP & BOTTOM,00-50002818,,Set,Inventory Item,Cost of Materials
DRAWER CHANNEL 300MM - BOTTOM RAIL,00-50002828,,Pair,Inventory Item,Cost of Materials
DRAWER CHANNEL 300MM U/M SOFT-HAFELE,00-50003689,,Set,Inventory Item,
DRAWER CHANNEL 400MM - BOTTOM RAIL,00-50002827,,Pair,Inventory Item,Cost of Materials
DRAWER CHANNEL 400MM - SIDE RAIL,00-50003536,,Pair,Inventory Item,Cost of Materials
DRAWER CHANNEL 500MM - BOTTOM RAIL,00-50002893,,Pair,Inventory Item,Cost of Materials
DRAWER CHANNEL 500MM U/M SOFT-HAFELE,00-50003688,,Set,Inventory Item,
DRAWER CHANNEL 650MM - BOTTOM RAIL,00-50003100,,Pair,Inventory Item,Cost of Materials
"DRAWER CHANNEL 8"" (SIDE RUNNER)",00-50003092,,Pair,Inventory Item,Cost of Materials
EURO PROFILE DOUBLE CYLINDER 70MM LENGTH 5 PIN TUMBLER DIN 18252/EN 1303 1910.70.SNP,00-50003400,,No.,Inventory Item,Cost of Materials
"FIRE RATED BUTT 2 BALL BEARING, 5 KNUCKLE, STANDARD DUTY, TEMPLATE DRILL, 102X76X3MM BS EN 1935 GRA HSSBS-SIMFR2BB433SS",00-50003402,,No.,Inventory Item,Cost of Materials
HANDLE 150MM C-TYPE BLACK ,00-00000330,,Nos.,Inventory Item,
HANDLE 150MM C-TYPE SS FINISH,00-00000329,,Nos.,Inventory Item,
HANGER ROD,00-50003231,,Mtr,Inventory Item,Cost of Materials
HANGER ROD SOCKET,00-50003234,,Pair,Inventory Item,Cost of Materials
HYDRAULIC PUMP FOR DOOR-15KG,00-50002650,,No.,Inventory Item,Cost of Materials
KICK PLATE,00-50002896,,No.,Inventory Item,Cost of Materials
LED ALUMINIUM CORNER PROFILE - 2 MTR LENGTH,00-50003203,,LM,Inventory Item,Cost of Materials
LED ALUMINIUM STRAIGHT PROFILE,00-50003204,,LM,Inventory Item,Cost of Materials
LOCK BODY,00-50003075,,Nos.,Inventory Item,
LOCK BODY - FR,00-00000186,,Nos.,Inventory Item,
LOCK BODY (ROUND TYPE),00-50003046,,No.,Inventory Item,Cost of Materials
MORTICE SASH LOCK 64MM,00-50003683,,Nos.,Inventory Item,
"MORTISE SASH LOCK 65MM BACKSET 72MM CTC DISTANCE S.S. DEADBOLT, LATCH, FOREND AND STRIKE PLATES 886572Z.SSS",00-50003401,,No.,Inventory Item,Cost of Materials
NGER ROD SOCKET,00-50003232,,Pair,Inventory Item,Cost of Materials
NGER ROD SOCKET,00-50003233,,Pair,Inventory Item,Cost of Materials
NYLON GLIDE 18MM - BROWN,00-50003934,,No.,Inventory Item,Cost of Materials
NYLON GLIDE 18MM-WHITE,00-50003143,,No.,Inventory Item,Cost of Materials
NYLON GLIDE 20MM ,00-50002887,,No.,Inventory Item,Cost of Materials
PADESTAL DRAWER LOCK,00-50003113,,No.,Inventory Item,Cost of Materials
PLASTIC CORNER PROFILE L SHAPE,00-50003133,,No.,Inventory Item,Cost of Materials
PULL HANDLE 1200MM,00-50003082,,Pair,Inventory Item,Cost of Materials
PUSH PLATE,00-50003312,,Nos.,Inventory Item,Cost of Materials
PUSH TO OPEN CATCHER - MAGNET TYPE,00-50003325,,Nos.,Inventory Item,Cost of Materials
PVC LEG,00-50003841,,No.,Inventory Item,Cost of Materials
SHELF SUPPORT  PIN - BROWN,00-50002892,,Nos,Inventory Item,Cost of Materials
SHUTTER HANDLE 512MM-BLACK,00-50002669,,Nos.,Inventory Item,
SIMPLEX DOOR HANDLE 2376 PAIR HANDLES IN ROSETTE PZ CHROME MATT 08.2376.04PZ.0017,00-50003399,,Pair,Inventory Item,Cost of Materials
SINGLE PROFILE CYLINDER 70MM,00-00000216,,Nos.,Inventory Item,
SLIDING DOOR FITTINGS,00-50003080,,Set,Inventory Item,Cost of Materials
SLIDING DOOR LOCK,00-50002869,,No.,Inventory Item,Cost of Materials
SLIDING DOOR LOCK BODY ,00-00000242,,Set,Inventory Item,
SLIDING TRACK CHANNEL WITH ACCESSORIES,00-50003815,,Set,Inventory Item,Cost of Materials
SPACERS 3CMX5CM LENGTH,00-50003817,,No.,Inventory Item,Cost of Materials
THUMB TURN CYLINDER,00-50002870,,No.,Inventory Item,Cost of Materials
"TOWER BOLT 16""",00-50003095,,Nos,Inventory Item,Cost of Materials
TOWER BOLT 3'' ,00-50003101,,Nos,Inventory Item,Cost of Materials
UMBRELLA NAILS 40MM DIA,00-50002702,,Nos.,Inventory Item,Cost of Materials
WALL BRACKET L TYPE 200X300-WHITE,00-50002667,,Nos.,Inventory Item,
WALL BRACKET L TYPE 200X400-WHITE,00-50002668,,Nos.,Inventory Item,
Laminate,00-00000189,,,,
0.6MMX4X8 LAMINATE - SUD WHITE OAK - SD-110,00-50003144,,SHEET,Inventory Item,Cost of Materials
0.8MMX4X8 PLAIN LAMINATE FOR VENEER PRESSING,00-50003131,,SHEET,Inventory Item,Cost of Materials
4X8X0.6MM LAMINATE 4148-MT.6 - TOPLINE,00-50003543,,SHEET,Inventory Item,Cost of Materials
4X8X0.8MM LAMINATE 5254A194 - TOP LINE,00-50003308,,SHEET,Inventory Item,Cost of Materials
4X8X0.8MM LAMINATE AMERICAN WALNUT 9054 SF - SANCO,00-50003848,,SHEET,Inventory Item,Cost of Materials
4X8X0.8MM LAMINATE SDL 10131 - SKYDECOR,00-50003122,,SHEET,Inventory Item,Cost of Materials
4X8X0.8MM LAMINATE SDL 10131EQR BONELIGHT - SKYDECOR,00-50003826,,SHEET,Inventory Item,Cost of Materials
4X8X0.8MM LAMINATE SDL 10134 PASTEL GREY - SKYDECOR,00-50003121,,SHEET,Inventory Item,Cost of Materials
4X8X0.8MM LAMINATE SDL 10206 SSR COTTON WHITE - SKYDECOR,00-50003223,,SHEET,Inventory Item,Cost of Materials
4X8X0.8MM LAMINATE SDL 30317 SUD VERACIOUS WALNUT - SKYDECOR,00-50003637,,SHEET,Inventory Item,Cost of Materials
4X8X0.8MM LAMINATE SDL 30318 BRK ANDEAN WALNUT - SKYDECOR,00-50003229,,SHEET,Inventory Item,Cost of Materials
4X8X0.8MM LAMINATE SDL 30323 ZN WALNUT DARK BROWN - SKYDECOR,00-50003219,,SHEET,Inventory Item,Cost of Materials
4X8X0.8MM LAMINATE SDL 40406 MBL TRAVERTINE BEIGE - SKYDECOR,00-50003224,,SHEET,Inventory Item,Cost of Materials
4X8X0.8MM LAMINATE SDL 40410 SKR MOSCATO BEIGE - SKYDECOR,00-50003456,,SHEET,Inventory Item,Cost of Materials
4X8X0.8MM LIGHT OAK LAMINATE,00-50003665,,SHEET,Inventory Item,
FC13362FC COLINA VERDE NUEZ HPL LAMINATE 4X8X0.9MM - KALLEGRA,00-50002782,,SHEET,Inventory Item,
PPC001MB PORTLAND LAMINATE 4X8X0.9MM - KALLEGRA,00-50003310,,SHEET,Inventory Item,Cost of Materials
Lipping,00-00000135,,,,
MDF,00-00000227,,,,
2 WAY BEND PLY 4X8X3MM,00-50003164,,SHEET,Inventory Item,
4X8X06MM MR MDF WITH B/S MELAMINE MF-138 OYSTER - EMILAM,00-50003212,,SHEET,Inventory Item,Cost of Materials
4X8X06MM MR MDF WITH B/S MELAMINE MF-377 SWISS WALNUT - EMILAM,00-50003263,,SHEET,Inventory Item,Cost of Materials
4X8X06MM NORMAL MDF WITH 1/S MELAMINE BLACK,00-50003947,,SHEET,Inventory Item,Cost of Materials
4X8X09MM MR MDF WITH B/S MELAMINE MF-138 OYSTER - EMILAM,00-50003211,,SHEET,Inventory Item,Cost of Materials
4X8X09MM MR MDF WITH B/S MELAMINE MF-377 SWISS WALNUT - EMILAM,00-50003262,,SHEET,Inventory Item,Cost of Materials
4X8X09MM MR MDF WITH B/S MELAMINE MF-384 PARMA WALNUT - EMILAM,00-50003038,,SHEET,Inventory Item,Cost of Materials
4X8X12MM MR MDF WITH B/S MELAMINE MF-138 OYSTER - EMILAM,00-50003210,,SHEET,Inventory Item,Cost of Materials
4X8X12MM MR MDF WITH B/S MELAMINE MF-377 SWISS WALNUT - EMILAM,00-50003261,,SHEET,Inventory Item,Cost of Materials
4x8x12mm PLAIN MDF,00-50003268,,SHEET,Inventory Item,Cost of Materials
4X8X18MM MR MDF WITH B/S MELAMINE MF-138 OYSTER - EMILAM,00-50003209,,SHEET,Inventory Item,Cost of Materials
4X8X18MM MR MDF WITH B/S MELAMINE MF-377 SWISS WALNUT - EMILAM,00-50003260,,SHEET,Inventory Item,Cost of Materials
4X8X18MM MR MDF WITH B/S MELAMINE MF-384 PARMA WALNUT - EMILAM,00-50003037,,SHEET,Inventory Item,Cost of Materials
4X8X18MM MR MDF WITH B/S MELAMINE MF-475 CALYPSO OAK - EMILAM,00-50003096,,SHEET,Inventory Item,Cost of Materials
4X8X18MM NORMAL MDF WITH B/S MELAMINE BLACK MATT,00-50003622,,SHEET,Inventory Item,Cost of Materials
4x8x18mm PLAIN MDF,00-50003267,,SHEET,Inventory Item,Cost of Materials
4x8x6mm PLAIN MDF,00-50002134,,SHEET,Inventory Item,Cost of Materials
4x8x9mm MR MDF,00-00000288,,SHEET,Inventory Item,
4x8x9mm PLAIN MDF,00-50003269,,SHEET,Inventory Item,Cost of Materials
6X12X18MM PLAIN MDF - MADE IN THAILAND - JUMBO,00-50002824,,SHEET,Inventory Item,Cost of Materials
6X12X9MM PLAIN MDF - JUMBO,00-50003266,,SHEET,Inventory Item,Cost of Materials
Horizontal  Bend  Plywood 4x8x6mm,00-50002646,,SHEET,Inventory Item,Cost of Materials
HORIZONTAL BEND PLY 4X8X6MM,00-50002605,,SHEET,Inventory Item,
INDOWUD NFC BOARD 4X8X18MM (FR+MR),00-00000229,,SHEET,Inventory Item,
MR MDF 6X12X12MM - MADE  IN THAILAND,00-50002645,,SHEET,Inventory Item,Cost of Materials
Melamine,00-00000023,,,,
08MMX2200X2800 B/S MELAMINE EGGER H3700 ST-10,00-50003578,,SHEET,Inventory Item,Cost of Materials
12MMX2200X2800 B/S MELAMINE EGGER H3700 ST-10,00-50003570,,SHEET,Inventory Item,Cost of Materials
18MMX2200X2800 B/S MELAMINE EGGER H1251 ST-19,00-50003405,,SHEET,Inventory Item,Cost of Materials
18MMX2200X2800 B/S MELAMINE EGGER H3700 ST-10,00-50003569,,SHEET,Inventory Item,Cost of Materials
18MMX2200X2800 B/S SAND ORLEANS OAK MELAMINE EGGER H1377 ST-36,00-50003973,,SHEET,Inventory Item,Cost of Materials
2440x1220x6mm NORMAL MDF S/S MELAMINE P1015-T03,00-00000289,,SHEET,Inventory Item,
4X8X06MM  MR MDF WITH 1/S MELAMINE (CODE: SDL-10202),00-50003120,,SHEET,Inventory Item,Cost of Materials
4X8X12MM  MR MDF WITH 2/S MELAMINE (CODE: SDL-10202),00-50003119,,SHEET,Inventory Item,Cost of Materials
Office Supplies,00-00000041,,,,
A3 PAPER,00-00000316,,box,Inventory Item,
A4 PAPER,00-00000315,,box,Inventory Item,
BALL PEN - GREEN,00-50003821,,Pkt,Inventory Item,Cost of Materials
CALCULATOR,00-50003996,,No.,Inventory Item,
DESK ORGANIZER - MESH,00-50003342,,No.,Inventory Item,Cost of Materials
GPS TRACKING DEVICE 4G,00-50002742,,Nos.,Service,
STICKER SHEET - A4,00-50003343,,Pkt.,Inventory Item,Cost of Materials
STICKY NOTES - MULTI COLOR,00-50003819,,Pkt.,Inventory Item,Cost of Materials
Paint,00-00000019,,,,
1K THINNER,00-50003624,,Litre,Inventory Item,Cost of Materials
AC CLEAR MULTICOAT 10% GLOSS 25LTR-RITVER,00-50002809,,LTR,Inventory Item,
CATALYST @50% 12.5ltr-RITVER,00-50002807,,Drum,Inventory Item,
CATALYST FOR ACRYLIC 5LTR-RITVER,00-50002810,,LTR,Inventory Item,
DYED GOLD YELLOW #15066,00-50002728,,LTR,Inventory Item,
DYED LEMON YELLOW #15064,00-50002729,,LTR,Inventory Item,
DYED PAINT - WALNUT # 15760,00-50003148,,Litre,Inventory Item,Cost of Materials
DYED WHITE #15073,00-50002727,,LTR,Inventory Item,
EPOXY PAINT - GREY - FLOOR PAINT,00-50003124,,LTR,Inventory Item,Cost of Materials
GP BITUMEN PAINT - PS-347 BLACK,00-50003593,,Drum,Inventory Item,Cost of Materials
Jotun Fenomastic Purecolour Emulsion Mat Base A 16.2L S0550-G90Y - Yellow,00-00000089,,Ltr,Inventory Item,
JOTUN FENOMASTIC RAL 0567,00-50003545,,Drum,Inventory Item,
JOTUN FENOMASTIC RAL 1037,00-50002758,,Drum,Inventory Item,
JOTUN FENOMASTIC RAL 7312 - GREEN,00-50003528,,Drum,Inventory Item,Cost of Materials
JOTUN FENOMASTIC RAL 9005,00-50002759,,Drum,Inventory Item,
NC PAINT - BLACK,00-50003594,,Drum,Inventory Item,Cost of Materials
PU BASE COAT FIRE RATED -WHITE E1466IT,00-50003597,,Ltr,Inventory Item,Cost of Materials
PU CATALYST,00-50000710,,Litre,Inventory Item,Cost of Materials
PU CATALYST @ 50% - FR E/1015IT-12.5LTR,00-50003598,,Litre,Inventory Item,Cost of Materials
PU CLEAR FR 10% GLOSS-25LTR RITVER,00-50002804,,Drum,Inventory Item,
PU CLEAR MATT 10% GLOSS 25LTR-RITVER,00-50002808,,LTR,Inventory Item,
PU MATT 10% 7398A - H86010 - ICA,00-50002640,,Kg,Inventory Item,Cost of Materials
PU MATT 10% 7399A - H86010 - ICA,00-50002639,,Kg,Inventory Item,Cost of Materials
PU MATT 10% 7400 A - OP550G10 - ICA,00-50002637,,Kg,Inventory Item,Cost of Materials
PU MATT 10% 7401 A - OP550G10 - ICA,00-50002638,,Kg,Inventory Item,Cost of Materials
PU MIX PAINT,00-50002741,,LTR,Inventory Item,
PU PAINT - JTN/8282 10% GLOSSY - 4818MK - ZEAL,00-50003614,,LTR,Inventory Item,Cost of Materials
PU PAINT - LIME STONE 10341,00-50003627,,LTR,Inventory Item,Cost of Materials
PU PAINT 10% GLOSS - KAS2397,00-50002959,,LTR,Inventory Item,Cost of Materials
PU PAINT 10% GLOSS - KAS2584 - RAL-801,00-50003566,,Ltr,Inventory Item,Cost of Materials
PU PAINT 10% GLOSS APS 5647-ICA,00-50003442,,Kg,Inventory Item,
PU PAINT FR - 10678 SPACE - 10% GLOSS,00-50004048,,LTR,Inventory Item,Cost of Materials
PU PAINT FR - E/1500 IT 26457 - EVI,00-50003003,,LTR,Inventory Item,Cost of Materials
PU PAINT FR - E/1500 IT 26464 - EVI,00-50003054,,LTR,Inventory Item,Cost of Materials
PU PAINT FR - E/1500 IT 26467 - EVI,00-50003004,,LTR,Inventory Item,Cost of Materials
PU PAINT FR - JTN/8282 10% GLOSSY - EVI,00-50003595,,Kg,Inventory Item,Cost of Materials
PU PAINT FR - JTN/8395 10% GLOSSY - EVI,00-50003596,,Kg,Inventory Item,Cost of Materials
PU PAINT RAL-8394 - WHITE POETRY 10% GLOSSY,00-50003099,,LTR,Inventory Item,Cost of Materials
PU PRIMER ,00-50003116,,Litre,Inventory Item,Cost of Materials
PU SEALER 25LTR-RITVER,00-50002816,,LTR,Inventory Item,
PU SEALER FR 25ltr-RITVER,00-50002803,,Drum,Inventory Item,
PU SLOW THINNER P040,00-50002746,,LTR,Inventory Item,
PU THINNER FR,00-50002805,,Drum,Inventory Item,
PU THINNER NORMAL-RITVER,00-50002811,,LTR,Inventory Item,
PU TOPCOAT 0% MATT GLOSSY - ICA,00-50003115,,Litre,Inventory Item,Cost of Materials
PU ULTRA CLEAR VARNISH EXTERIOR MATT F6502720 - SADOLIN YATCH,00-50002628,,Gallon,Inventory Item,Cost of Materials
ROAD MARKING PAINT-BLACK,00-50003766,,GLN,Inventory Item,
ROAD MARKING PAINT-YELLOW,00-50003765,,GLN,Inventory Item,
TEXTURE FINISH PAINT ,00-00000123,,Gallon,Inventory Item,
UNIVERSAL STAINER - BROWN - DJ5407 - PIDILITE - 110G - (1 BOX = 24 NOS),00-50003556,,Box,Inventory Item,Cost of Materials
UNIVERSAL STAINER - FAST RED - SI3N16 - PIDILITE - 110G - (1 BOX = 24 NOS),00-50003557,,Box,Inventory Item,Cost of Materials
UNIVERSAL STAINER - JET BLACK - DJ5604 - PIDILITE - 110G - (1 BOX = 24 NOS),00-50003555,,Box,Inventory Item,Cost of Materials
UNIVERSAL STAINER - THICK YELLOW - DJ4N06 - PIDILITE - 110G - (1 BOX = 24 NOS),00-50003558,,Box,Inventory Item,Cost of Materials
Plumbing,00-00000025,,,,
25MM PPR PIPE ,00-50003246,,LM,Inventory Item,Cost of Materials
BRASS REDUCER,00-50002772,,Nos.,Inventory Item,Cost of Materials
"GI REDUCER BUSH 2""X1.5""",00-50003085,,No.,Inventory Item,Cost of Materials
"GI SOCKET 2""",00-50003084,,No.,Inventory Item,Cost of Materials
"PPR ELBOW 2""",00-50003032,,No.,Inventory Item,Cost of Materials
"PPR NIPPLE SOCKET 2""",00-50003035,,No.,Inventory Item,Cost of Materials
"PPR PIPE 2""",00-50003031,,LM,Inventory Item,Cost of Materials
"PPR REDUCER 2""X1""",00-50003036,,No.,Inventory Item,Cost of Materials
"PPR SOCKET 2""",00-50003034,,No.,Inventory Item,Cost of Materials
"PPR TEE 2""",00-50003033,,No.,Inventory Item,Cost of Materials
"PVC MALE THREAD ADAPTER 2/3""",00-00000085,,Nos.,Inventory Item,
"PVC MALE THREAD ADAPTER 3/4""",00-00000075,,Nos.,Inventory Item,
Refundable Deposit Control A/c,00-00000013,,,,
Refundable Deposit - DEWA,00-00000014,,Cbm,Service,
Refundable Deposit - Rent,00-00000015,,Cbm,Service,
Refundable Deposit - SEWA,00-00000016,,Cbm,Service,
Refundable Deposit - SHJ MUNICIPALITY,00-00000017,,Cbm,Service,
Refundable Deposit - Visa,00-00000018,,Cbm,Service,
Safety,00-00000057,,,,
FIRE EXTINGUISHER - BLACK,00-50002927,,No.,Inventory Item,Cost of Materials
FIRE EXTINGUISHER - RED,00-50002926,,No.,Inventory Item,Cost of Materials
Services for Fixed Assets Categories,00-00000002,,,,
BLADE SHARPENING,00-50000670,,LS,Service,
Intangible Asset,00-00000007,,Nos,Fixed Asset,
"Property, Plant and Equipment",00-00000008,,Nos,Fixed Asset,
SOFTWARE MODULE,00-50002939,,Nos.,Inventory Item,
Services for Positions,00-00000001,,,,
3D LETTER CNC DESIGN,00-50003010,,Nos.,Service,
3D LETTER DESIGN,00-50003009,,Nos.,Inventory Item,
ASSEMBELING & INSTALLATION TV UNIT,00-50003518,,Sqm,Service,
Cashier,00-00000003,,Nos,Manpower,
Chief accountant,00-00000004,,Nos,Manpower,
DIESEL PUMP RECTIFICATION,00-50002910,,Nos.,Inventory Item,
Director,00-00000005,,Nos,Manpower,
FABRICATION & SUPPLY OF STEEL,00-50002644,,Nos.,Service,
GENERAL WASTE COLLECTION,00-50002982,,Trip,Inventory Item,
INSTALLATION TV UNIT 2.4X1.8,00-50003546,,Sqm,Service,
INSTALLATION TV UNIT 2.4X2.4,00-50003547,,Sqm,Service,
INSTALLATION TV UNIT 2.4X2.4 (WITH STRIPS),00-50003548,,Sqm,Service,
OFFICE PRINTER RENTAL,00-50002701,,Nos.,Service,
STICKER AS PER DRAWING,00-50002716,,Nos.,Service,
Unemployeed Manpower,00-00000006,,Nos,Manpower,
VEHICLE REPAIR/MAINTANANCE,00-50003560,,Nos.,Service,
Space Builders,00-50000351,,,,
Aluminium & Glass,00-50000364,,,,
03MM THK MIRROR,00-50003798,,Nos.,Inventory Item,Cost of Materials
06MM FROSTED GLASS,00-50003225,,Nos,Inventory Item,Cost of Materials
06MM GLASS,00-50003367,,Nos,Inventory Item,Cost of Materials
06MM TEMPERED GLASS,00-50003048,,Nos,Inventory Item,Cost of Materials
06MM THK CLEAR SILVER MIRROR,00-50002589,,Nos.,Inventory Item,Cost of Materials
06MM THK MIRROR,00-50002813,,Nos.,Inventory Item,Cost of Materials
10MM TEMPERED GLASS,00-50003542,,Nos,Inventory Item,Cost of Materials
10MM THK BELGIUM MIRROR,00-50003227,,Nos.,Inventory Item,Cost of Materials
6MM THK BELGIUM MIRROR,00-50002838,,Nos.,Inventory Item,Cost of Materials
6MM THK MAGIC MIRROR,00-50002426,,Nos.,Inventory Item,Cost of Materials
COLORED GLASS,00-50002815,,Nos.,Inventory Item,Cost of Materials
GLASS BOX ,00-50003050,,Nos.,Inventory Item,Cost of Materials
GLASS BOX 995X555X750MM,00-50002419,,Nos.,Inventory Item,Cost of Materials
GLASS DOOR,00-50003111,,Nos.,Inventory Item,Cost of Materials
GLASS SHUTTER WITH ALUMINUM FRAME,00-50003217,,Nos.,Inventory Item,Cost of Materials
KERALITE CLEAR GLASS - 5MM THK,00-50003216,,Nos,Inventory Item,Cost of Materials
PROFILE HANDLE 3000X35,00-50001107,,Nos,Inventory Item,Cost of Materials
Consumables,00-50001171,,,,
"08MM NUT AND BOLT 3""",00-50002189,,PCS,Inventory Item,Cost of Materials
08MM TEE NUT 4 PRONG,00-50002185,,PCS,Inventory Item,Cost of Materials
08MM WASHER - 25MM DIA,00-50002187,,PCS,Inventory Item,Cost of Materials
"10MM NUT AND BOLT 4""",00-50002190,,PCS,Inventory Item,Cost of Materials
10MM TEE NUT 4 PRONG,00-50002186,,PCS,Inventory Item,Cost of Materials
10MM WASHER - 40MM DIA,00-50002188,,PCS,Inventory Item,Cost of Materials
12x55/135 MORTISE BIT RH - METAL WORLD,00-50001174,,Nos,Inventory Item,Cost of Materials
16x70/155 MORTISE BIT RH - METAL WORLD,00-50001172,,Nos.,Inventory Item,Cost of Materials
CW FEVICOL GLUE ,00-50001412,,PCS,Inventory Item,Cost of Materials
DOOR REBATED RUBBER SEAL - BROWN ,00-50003580,,LM,Inventory Item,Cost of Materials
DOOR RUBBER SEAL ,00-50002430,,LM,Inventory Item,Cost of Materials
DRAWER KNOB HANDLE -SS FINISH,00-50002039,,Nos,Inventory Item,
DRAWER LOCK 18MM,00-50002038,,Nos,Inventory Item,
DROP DOWN SEAL 900MM,00-50003897,,LM,Inventory Item,Cost of Materials
FIRE SEAL 15X4,00-50003083,,No.,Inventory Item,Cost of Materials
FIRE SEAL 20X4,00-50003892,,No.,Inventory Item,Cost of Materials
FLAT PAD 140X115X5MM GRIT 1500 MICROFINE,00-50001406,,PCS,Inventory Item,Cost of Materials
FLAT WOODEN BIT 12MM - UKEN,00-50002229,,Nos.,Inventory Item,Cost of Materials
FLAT WOODEN BIT 14MM - UKEN,00-50002230,,Nos.,Inventory Item,Cost of Materials
FLAT WOODEN BIT 16MM - UKEN,00-50002231,,Nos.,Inventory Item,Cost of Materials
